,COUNTY,COUNTY_L,FIPS,NAME,NAME_L,ST,STATE,STCOUNTYFP,STATE_L,ZCTA,ZIP
1060,DESCHUTES COUNTY,Deschutes County,FIPS41017,DESCHUTES,Deschutes,OR,OREGON,41017,Oregon,ZCTA97707,97707
1061,DESCHUTES COUNTY,Deschutes County,FIPS41017,DESCHUTES,Deschutes,OR,OREGON,41017,Oregon,ZCTA97703,97703
1062,DESCHUTES COUNTY,Deschutes County,FIPS41017,DESCHUTES,Deschutes,OR,OREGON,41017,Oregon,ZCTA97702,97702
1063,DESCHUTES COUNTY,Deschutes County,FIPS41017,DESCHUTES,Deschutes,OR,OREGON,41017,Oregon,ZCTA97701,97701
1064,LAKE COUNTY,Lake County,FIPS41037,LAKE,Lake,OR,OREGON,41037,Oregon,ZCTA97641,97641
1065,LAKE COUNTY,Lake County,FIPS41037,LAKE,Lake,OR,OREGON,41037,Oregon,ZCTA97640,97640
1066,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97639,97639
1067,LAKE COUNTY,Lake County,FIPS41037,LAKE,Lake,OR,OREGON,41037,Oregon,ZCTA97638,97638
1068,LAKE COUNTY,Lake County,FIPS41037,LAKE,Lake,OR,OREGON,41037,Oregon,ZCTA97637,97637
1069,LAKE COUNTY,Lake County,FIPS41037,LAKE,Lake,OR,OREGON,41037,Oregon,ZCTA97636,97636
1070,LAKE COUNTY,Lake County,FIPS41037,LAKE,Lake,OR,OREGON,41037,Oregon,ZCTA97635,97635
1071,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97634,97634
1072,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97633,97633
1073,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97632,97632
1074,LAKE COUNTY,Lake County,FIPS41037,LAKE,Lake,OR,OREGON,41037,Oregon,ZCTA97630,97630
1075,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97627,97627
1076,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97626,97626
1077,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97625,97625
1078,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97624,97624
1079,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97623,97623
1080,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97622,97622
1081,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97621,97621
1082,LAKE COUNTY,Lake County,FIPS41037,LAKE,Lake,OR,OREGON,41037,Oregon,ZCTA97620,97620
1083,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97604,97604
1084,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97603,97603
1085,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97602,97602
1086,KLAMATH COUNTY,Klamath County,FIPS41035,KLAMATH,Klamath,OR,OREGON,41035,Oregon,ZCTA97601,97601
1087,JOSEPHINE COUNTY,Josephine County,FIPS41033,JOSEPHINE,Josephine,OR,OREGON,41033,Oregon,ZCTA97544,97544
1088,JOSEPHINE COUNTY,Josephine County,FIPS41033,JOSEPHINE,Josephine,OR,OREGON,41033,Oregon,ZCTA97543,97543
1089,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97541,97541
1090,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97540,97540
1091,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97539,97539
1092,JOSEPHINE COUNTY,Josephine County,FIPS41033,JOSEPHINE,Josephine,OR,OREGON,41033,Oregon,ZCTA97538,97538
1093,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97537,97537
1094,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97536,97536
1095,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97535,97535
1096,JOSEPHINE COUNTY,Josephine County,FIPS41033,JOSEPHINE,Josephine,OR,OREGON,41033,Oregon,ZCTA97534,97534
1097,JOSEPHINE COUNTY,Josephine County,FIPS41033,JOSEPHINE,Josephine,OR,OREGON,41033,Oregon,ZCTA97533,97533
1098,JOSEPHINE COUNTY,Josephine County,FIPS41033,JOSEPHINE,Josephine,OR,OREGON,41033,Oregon,ZCTA97532,97532
1099,JOSEPHINE COUNTY,Josephine County,FIPS41033,JOSEPHINE,Josephine,OR,OREGON,41033,Oregon,ZCTA97531,97531
1100,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97530,97530
1101,JOSEPHINE COUNTY,Josephine County,FIPS41033,JOSEPHINE,Josephine,OR,OREGON,41033,Oregon,ZCTA97528,97528
1102,JOSEPHINE COUNTY,Josephine County,FIPS41033,JOSEPHINE,Josephine,OR,OREGON,41033,Oregon,ZCTA97527,97527
1103,JOSEPHINE COUNTY,Josephine County,FIPS41033,JOSEPHINE,Josephine,OR,OREGON,41033,Oregon,ZCTA97526,97526
1104,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97525,97525
1105,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97524,97524
1106,JOSEPHINE COUNTY,Josephine County,FIPS41033,JOSEPHINE,Josephine,OR,OREGON,41033,Oregon,ZCTA97523,97523
1107,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97522,97522
1108,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97520,97520
1109,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97504,97504
1110,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97503,97503
1111,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97502,97502
1112,JACKSON COUNTY,Jackson County,FIPS41029,JACKSON,Jackson,OR,OREGON,41029,Oregon,ZCTA97501,97501
1113,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97499,97499
1114,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97498,97498
1115,JOSEPHINE COUNTY,Josephine County,FIPS41033,JOSEPHINE,Josephine,OR,OREGON,41033,Oregon,ZCTA97497,97497
1116,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97496,97496
1117,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97495,97495
1118,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97494,97494
1119,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97493,97493
1120,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97492,97492
1121,CURRY COUNTY,Curry County,FIPS41015,CURRY,Curry,OR,OREGON,41015,Oregon,ZCTA97491,97491
1122,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97490,97490
1123,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97489,97489
1124,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97488,97488
1125,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97487,97487
1126,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97486,97486
1127,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97484,97484
1128,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97481,97481
1129,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97480,97480
1130,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97479,97479
1131,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97478,97478
1132,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97477,97477
1133,CURRY COUNTY,Curry County,FIPS41015,CURRY,Curry,OR,OREGON,41015,Oregon,ZCTA97476,97476
1134,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97475,97475
1135,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97473,97473
1136,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97471,97471
1137,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97470,97470
1138,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97469,97469
1139,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97467,97467
1140,COOS COUNTY,Coos County,FIPS41011,COOS,Coos,OR,OREGON,41011,Oregon,ZCTA97466,97466
1141,CURRY COUNTY,Curry County,FIPS41015,CURRY,Curry,OR,OREGON,41015,Oregon,ZCTA97465,97465
1142,CURRY COUNTY,Curry County,FIPS41015,CURRY,Curry,OR,OREGON,41015,Oregon,ZCTA97464,97464
1143,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97463,97463
1144,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97462,97462
1145,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97461,97461
1146,COOS COUNTY,Coos County,FIPS41011,COOS,Coos,OR,OREGON,41011,Oregon,ZCTA97459,97459
1147,COOS COUNTY,Coos County,FIPS41011,COOS,Coos,OR,OREGON,41011,Oregon,ZCTA97458,97458
1148,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97457,97457
1149,BENTON COUNTY,Benton County,FIPS41003,BENTON,Benton,OR,OREGON,41003,Oregon,ZCTA97456,97456
1150,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97455,97455
1151,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97454,97454
1152,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97453,97453
1153,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97452,97452
1154,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97451,97451
1155,CURRY COUNTY,Curry County,FIPS41015,CURRY,Curry,OR,OREGON,41015,Oregon,ZCTA97450,97450
1156,COOS COUNTY,Coos County,FIPS41011,COOS,Coos,OR,OREGON,41011,Oregon,ZCTA97449,97449
1157,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97448,97448
1158,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97447,97447
1159,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97446,97446
1160,CURRY COUNTY,Curry County,FIPS41015,CURRY,Curry,OR,OREGON,41015,Oregon,ZCTA97444,97444
1161,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97443,97443
1162,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97442,97442
1163,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97441,97441
1164,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97440,97440
1165,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97439,97439
1166,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97438,97438
1167,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97437,97437
1168,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97436,97436
1169,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97435,97435
1170,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97434,97434
1171,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97432,97432
1172,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97431,97431
1173,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97430,97430
1174,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97429,97429
1175,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97426,97426
1176,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97424,97424
1177,COOS COUNTY,Coos County,FIPS41011,COOS,Coos,OR,OREGON,41011,Oregon,ZCTA97423,97423
1178,COOS COUNTY,Coos County,FIPS41011,COOS,Coos,OR,OREGON,41011,Oregon,ZCTA97420,97420
1179,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97419,97419
1180,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97417,97417
1181,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97416,97416
1182,CURRY COUNTY,Curry County,FIPS41015,CURRY,Curry,OR,OREGON,41015,Oregon,ZCTA97415,97415
1183,COOS COUNTY,Coos County,FIPS41011,COOS,Coos,OR,OREGON,41011,Oregon,ZCTA97414,97414
1184,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97413,97413
1185,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97412,97412
1186,COOS COUNTY,Coos County,FIPS41011,COOS,Coos,OR,OREGON,41011,Oregon,ZCTA97411,97411
1187,DOUGLAS COUNTY,Douglas County,FIPS41019,DOUGLAS,Douglas,OR,OREGON,41019,Oregon,ZCTA97410,97410
1188,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97409,97409
1189,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97408,97408
1190,COOS COUNTY,Coos County,FIPS41011,COOS,Coos,OR,OREGON,41011,Oregon,ZCTA97407,97407
1191,CURRY COUNTY,Curry County,FIPS41015,CURRY,Curry,OR,OREGON,41015,Oregon,ZCTA97406,97406
1192,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97405,97405
1193,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97404,97404
1194,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97403,97403
1195,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97402,97402
1196,LANE COUNTY,Lane County,FIPS41039,LANE,Lane,OR,OREGON,41039,Oregon,ZCTA97401,97401
1197,YAMHILL COUNTY,Yamhill County,FIPS41071,YAMHILL,Yamhill,OR,OREGON,41071,Oregon,ZCTA97396,97396
1198,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97394,97394
1199,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97392,97392
1200,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97391,97391
1201,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97390,97390
1202,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97389,97389
1203,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97388,97388
1204,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97386,97386
1205,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97385,97385
1206,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97384,97384
1207,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97383,97383
1208,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97381,97381
1209,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97380,97380
1210,YAMHILL COUNTY,Yamhill County,FIPS41071,YAMHILL,Yamhill,OR,OREGON,41071,Oregon,ZCTA97378,97378
1211,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97377,97377
1212,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97376,97376
1213,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97375,97375
1214,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97374,97374
1215,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97373,97373
1216,POLK COUNTY,Polk County,FIPS41053,POLK,Polk,OR,OREGON,41053,Oregon,ZCTA97371,97371
1217,BENTON COUNTY,Benton County,FIPS41003,BENTON,Benton,OR,OREGON,41003,Oregon,ZCTA97370,97370
1218,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97369,97369
1219,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97368,97368
1220,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97367,97367
1221,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97366,97366
1222,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97365,97365
1223,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97364,97364
1224,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97362,97362
1225,POLK COUNTY,Polk County,FIPS41053,POLK,Polk,OR,OREGON,41053,Oregon,ZCTA97361,97361
1226,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97360,97360
1227,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97358,97358
1228,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97357,97357
1229,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97355,97355
1230,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97352,97352
1231,POLK COUNTY,Polk County,FIPS41053,POLK,Polk,OR,OREGON,41053,Oregon,ZCTA97351,97351
1232,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97350,97350
1233,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97348,97348
1234,POLK COUNTY,Polk County,FIPS41053,POLK,Polk,OR,OREGON,41053,Oregon,ZCTA97347,97347
1235,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97346,97346
1236,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97345,97345
1237,POLK COUNTY,Polk County,FIPS41053,POLK,Polk,OR,OREGON,41053,Oregon,ZCTA97344,97344
1238,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97343,97343
1239,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97342,97342
1240,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97341,97341
1241,BENTON COUNTY,Benton County,FIPS41003,BENTON,Benton,OR,OREGON,41003,Oregon,ZCTA97339,97339
1242,POLK COUNTY,Polk County,FIPS41053,POLK,Polk,OR,OREGON,41053,Oregon,ZCTA97338,97338
1243,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97336,97336
1244,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97335,97335
1245,BENTON COUNTY,Benton County,FIPS41003,BENTON,Benton,OR,OREGON,41003,Oregon,ZCTA97333,97333
1246,BENTON COUNTY,Benton County,FIPS41003,BENTON,Benton,OR,OREGON,41003,Oregon,ZCTA97331,97331
1247,BENTON COUNTY,Benton County,FIPS41003,BENTON,Benton,OR,OREGON,41003,Oregon,ZCTA97330,97330
1248,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97329,97329
1249,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97327,97327
1250,LINCOLN COUNTY,Lincoln County,FIPS41041,LINCOLN,Lincoln,OR,OREGON,41041,Oregon,ZCTA97326,97326
1251,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97325,97325
1252,BENTON COUNTY,Benton County,FIPS41003,BENTON,Benton,OR,OREGON,41003,Oregon,ZCTA97324,97324
1253,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97322,97322
1254,LINN COUNTY,Linn County,FIPS41043,LINN,Linn,OR,OREGON,41043,Oregon,ZCTA97321,97321
1255,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97317,97317
1256,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97314,97314
1257,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97312,97312
1258,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97311,97311
1259,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97310,97310
1260,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97309,97309
1261,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97308,97308
1262,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97307,97307
1263,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97306,97306
1264,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97305,97305
1265,POLK COUNTY,Polk County,FIPS41053,POLK,Polk,OR,OREGON,41053,Oregon,ZCTA97304,97304
1266,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97303,97303
1267,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97302,97302
1268,MARION COUNTY,Marion County,FIPS41047,MARION,Marion,OR,OREGON,41047,Oregon,ZCTA97301,97301
1269,WASHINGTON COUNTY,Washington County,FIPS41067,WASHINGTON,Washington,OR,OREGON,41067,Oregon,ZCTA97298,97298
1270,MULTNOMAH COUNTY,Multnomah County,FIPS41051,MULTNOMAH,Multnomah,OR,OREGON,41051,Oregon,ZCTA97296,97296
1271,MULTNOMAH COUNTY,Multnomah County,FIPS41051,MULTNOMAH,Multnomah,OR,OREGON,41051,Oregon,ZCTA97294,97294
1272,MULTNOMAH COUNTY,Multnomah County,FIPS41051,MULTNOMAH,Multnomah,OR,OREGON,41051,Oregon,ZCTA97293,97293
1273,MULTNOMAH COUNTY,Multnomah County,FIPS41051,MULTNOMAH,Multnomah,OR,OREGON,41051,Oregon,ZCTA97292,97292
1274,WASHINGTON COUNTY,Washington County,FIPS41067,WASHINGTON,Washington,OR,OREGON,41067,Oregon,ZCTA97291,97291
1275,MULTNOMAH COUNTY,Multnomah County,FIPS41051,MULTNOMAH,Multnomah,OR,OREGON,41051,Oregon,ZCTA97290,97290
1276,MULTNOMAH COUNTY,Multnomah County,FIPS41051,MULTNOMAH,Multnomah,OR,OREGON,41051,Oregon,ZCTA97286,97286
1277,MULTNOMAH COUNTY,Multnomah County,FIPS41051,MULTNOMAH,Multnomah,OR,OREGON,41051,Oregon,ZCTA97283,97283
