Feature,Label
AHRF462,3-Yr Other Male Deaths-17
AHRF463,3-Yr Other Male Infant Deaths-16
AHRF464,3-Yr Other Male Infant Deaths-17
AHRF465,3-Yr Suicides-16
AHRF466,3-Yr Suicides-17
AHRF467,3-Yr Tot Low Birth Weight Birth-16
AHRF468,3-Yr Tot Low Birth Weight Birth-17
AHRF469,3-Yr Total Births-16
AHRF470,3-Yr Total Births-17
AHRF471,3-Yr Total Deaths-16
AHRF472,3-Yr Total Deaths-17
AHRF473,3-Yr Very Low Birth Wt Births-16
AHRF474,3-Yr Very Low Birth Wt Births-17
AHRF475,3-Yr White Births-16
AHRF476,3-Yr White Births-17
AHRF477,3-Yr White Female Births-16
AHRF478,3-Yr White Female Births-17
AHRF479,3-Yr White Female Deaths-16
AHRF480,3-Yr White Female Deaths-17
AHRF481,3-Yr White Fmle Infant Deaths-16
AHRF482,3-Yr White Fmle Infant Deaths-17
AHRF483,3-Yr White Male Births-16
AHRF484,3-Yr White Male Births-17
AHRF485,3-Yr White Male Deaths-16
AHRF486,3-Yr White Male Deaths-17
AHRF487,3-Yr White Male Infant Deaths-16
AHRF488,3-Yr White Male Infant Deaths-17
AHRF489,3-Yr Wht Low Birth Weight Birth-16
AHRF490,3-Yr Wht Low Birth Weight Birth-17
AHRF491,Actual Per Capita Medicare Cost Fee for Service
AHRF492,"Acute LT Care, Beds Set Up Short Term General Hospitals"
AHRF493,Adv Pract Nurse Midwives w/NPI
AHRF494,Adv Practice Regist Nurse w/NPI
AHRF495,"Adv Prct Regist Nurs,Fmle w/NPI"
AHRF496,"Adv Prct Regist Nurs,Male w/NPI"
AHRF497,"AdvPractNurs Midwve,Fmle w/NPI"
AHRF498,"AdvPractNurs Midwve,Male w/NPI"
AHRF499,"Advanced Practice Reg Nurses,FT ST Non-Gen + Long Term Hosps"
AHRF500,"Advanced Practice Reg Nurses,FT Short Term General Hospitals"
AHRF501,"Advanced Practice Reg Nurses,PT ST Non-Gen + Long Term Hosps"
AHRF502,"Advanced Practice Reg Nurses,PT Short Term General Hospitals"
AHRF503,"Aerospace Med, Administration Non-Fed"
AHRF504,"Aerospace Med, Other Non-Fed"
AHRF505,"Aerospace Med, PC, Hosp FT Stf Non-Fed"
AHRF506,"Aerospace Med, PC, Hosp Resdnt Non-Fed"
AHRF507,"Aerospace Med, PC, Office Based Non-Fed"
AHRF508,"Aerospace Med, Research Non-Fed"
AHRF509,"Aerospace Med, Teaching Non-Fed"
AHRF510,"Aerospace Med, Total Non-Fed"
AHRF511,"Aerospace Med, Total Patn Care Non-Fed"
AHRF512,"Aerospace Medicine, 35-44 Non-Fed"
AHRF513,"Aerospace Medicine, 45-54 Non-Fed"
AHRF514,"Aerospace Medicine, 55-64 Non-Fed"
AHRF515,"Aerospace Medicine, 65-74 Non-Fed"
AHRF516,"Aerospace Medicine, 75 + Non-Fed"
AHRF517,"Aerospace Medicine, < 35 Non-Fed"
AHRF518,"Alchl/Chem Depend Cr,Bed Set Up Short Term General Hospitals"
AHRF519,"All Other Personnel, Full-Time Incl Nurs Homes; ST Gen Hosps"
AHRF520,"All Other Personnel, Full-Time Incl Nurs Homes; STNG/LT Hosps"
AHRF521,"All Other Personnel, Part-Time Incl Nurs Homes; ST Gen Hosps"
AHRF522,"All Other Personnel, Part-Time Incl Nurs Homes; STNG/LT Hosps"
AHRF523,"All Other Personnel, Vacancies ST Non-Gen + Long Term Hosps"
AHRF524,"All Other Personnel, Vacancies Short Term General Hospitals"
AHRF525,"Allergy and Immunlgy,Administration Non-Fed"
AHRF526,"Allergy and Immunlgy,PC,Hosp FT Stf Non-Fed"
AHRF527,"Allergy and Immunology, 35-44 Non-Fed"
AHRF528,"Allergy and Immunology, 45-54 Non-Fed"
AHRF529,"Allergy and Immunology, 55-64 Non-Fed"
AHRF530,"Allergy and Immunology, 65-74 Non-Fed"
AHRF531,"Allergy and Immunology, 75 + Non-Fed"
AHRF532,"Allergy and Immunology, < 35 Non-Fed"
AHRF533,"Allergy and Immunology, Other Non-Fed"
AHRF534,"Allergy and Immunology, Research Non-Fed"
AHRF535,"Allergy and Immunology, Teaching Non-Fed"
AHRF536,"Allergy and Immunology, Total Non-Fed"
AHRF537,"Allergy and Immunology,Hosp Resdnt Non-Fed"
AHRF538,"Allergy and Immunology,PC,Off Based Non-Fed"
AHRF539,"Allergy and Immunology,Tot Patn Cr Non-Fed"
AHRF540,"Anesthesiolgy, Administration Non-Fed"
AHRF541,"Anesthesiolgy, Other Non-Fed"
AHRF542,"Anesthesiolgy, PC, Hosp FT Stf Non-Fed"
AHRF543,"Anesthesiolgy, PC, Hosp Resdnt Non-Fed"
AHRF544,"Anesthesiolgy, PC, Office Based Non-Fed"
AHRF545,"Anesthesiolgy, Research Non-Fed"
AHRF546,"Anesthesiolgy, Teaching Non-Fed"
AHRF547,"Anesthesiolgy, Total Non-Fed"
AHRF548,"Anesthesiolgy, Total Patn Care Non-Fed"
AHRF549,"Anesthesiology, 35-44 Non-Fed"
AHRF550,"Anesthesiology, 45-54 Non-Fed"
AHRF551,"Anesthesiology, 55-64 Non-Fed"
AHRF552,"Anesthesiology, 65-74 Non-Fed"
AHRF553,"Anesthesiology, 75 + Non-Fed"
AHRF554,"Anesthesiology, < 35 Non-Fed"
AHRF555,Bassinets Set Up and Staffed ST Non-Gen + Long Term Hosps
AHRF556,Bassinets Set Up and Staffed Short Term General Hospitals
AHRF557,"Burn Care, Beds Set Up Short Term General Hospitals"
AHRF558,"Cardiac Intens Cr, Beds Set Up Short Term General Hospitals"
AHRF559,"Cardiovas Dis, Administration Non-Fed"
AHRF560,"Cardiovas Dis, Other Non-Fed"
AHRF561,"Cardiovas Dis, PC, Hosp FT Stf Non-Fed"
AHRF562,"Cardiovas Dis, PC, Hosp Resdnt Non-Fed"
AHRF563,"Cardiovas Dis, PC, Office Based Non-Fed"
AHRF564,"Cardiovas Dis, Research Non-Fed"
AHRF565,"Cardiovas Dis, Teaching Non-Fed"
AHRF566,"Cardiovas Dis, Total Non-Fed"
AHRF567,"Cardiovas Dis, Total Patn Care Non-Fed"
AHRF568,"Cardiovascular Diseases, 35-44 Non-Fed"
AHRF569,"Cardiovascular Diseases, 45-54 Non-Fed"
AHRF570,"Cardiovascular Diseases, 55-64 Non-Fed"
AHRF571,"Cardiovascular Diseases, 65-74 Non-Fed"
AHRF572,"Cardiovascular Diseases, 75 + Non-Fed"
AHRF573,"Cardiovascular Diseases, < 35 Non-Fed"
AHRF574,Cert Regist Nurs Anesthet w/NPI
AHRF575,"CertRegistNursAnesth,Fmle w/NPI"
AHRF576,"CertRegistNursAnesth,Male w/NPI"
AHRF577,"Child Psych, Administration Non-Fed"
AHRF578,"Child Psych, Other Non-Fed"
AHRF579,"Child Psych, PC, Hosp FT Staff Non-Fed"
AHRF580,"Child Psych, PC, Hosp Residents Non-Fed"
AHRF581,"Child Psych, PC, Office Based Non-Fed"
AHRF582,"Child Psych, Research Non-Fed"
AHRF583,"Child Psych, Teaching Non-Fed"
AHRF584,"Child Psych, Total Non-Fed"
AHRF585,"Child Psych, Total Patn Care Non-Fed"
AHRF586,"Child Psychiatry, 35-44 Non-Fed"
AHRF587,"Child Psychiatry, 45-54 Non-Fed"
AHRF588,"Child Psychiatry, 55-64 Non-Fed"
AHRF589,"Child Psychiatry, 65-74 Non-Fed"
AHRF590,"Child Psychiatry, 75 + Non-Fed"
AHRF591,"Child Psychiatry, < 35 Non-Fed"
AHRF592,Chiropractors w/NPI
AHRF593,"Chiropractors, Female w/NPI"
AHRF594,"Chiropractors, Male w/NPI"
AHRF595,"Civilian Labor Force, 16+"
AHRF596,"Clin Nurs Specialist,Fmle w/NPI"
AHRF597,"Clin Nurs Specialist,Male w/NPI"
AHRF598,Clinical Nurse Specialist w/NPI
AHRF599,"Colon and Rectal Surgery, 35-44 Non-Fed"
AHRF600,"Colon and Rectal Surgery, 45-54 Non-Fed"
AHRF601,"Colon and Rectal Surgery, 55-64 Non-Fed"
AHRF602,"Colon and Rectal Surgery, 65-74 Non-Fed"
AHRF603,"Colon and Rectal Surgery, 75 + Non-Fed"
AHRF604,"Colon and Rectal Surgery, < 35 Non-Fed"
AHRF605,"Colon/Rectal Srg, Administrat Non-Fed"
AHRF606,"Colon/Rectal Srg, Other Non-Fed"
AHRF607,"Colon/Rectal Srg, PC, Hosp Res Non-Fed"
AHRF608,"Colon/Rectal Srg, PC, Off Based Non-Fed"
AHRF609,"Colon/Rectal Srg, PC,Hsp FT Stf Non-Fed"
AHRF610,"Colon/Rectal Srg, Research Non-Fed"
AHRF611,"Colon/Rectal Srg, Teaching Non-Fed"
AHRF612,"Colon/Rectal Srg, Total Non-Fed"
AHRF613,"Colon/Rectal Srg, Total Ptn Cr Non-Fed"
AHRF614,"D.O.'s, PC, Off Based Non-Fed"
AHRF615,"D.O.'s, Total Oth Prof Activity Non-Fed"
AHRF616,"D.O.'s, Total PC, Hosp FT Staff Non-Fed"
AHRF617,"D.O.'s, Total PC, Hosp Resident Non-Fed"
AHRF618,"D.O.'s, Total Ptn Care Non-Fed"
AHRF619,"DO's Inactive, Total Non-Fed"
AHRF620,"DO's Not Classified, Total Non-Fed"
AHRF621,"DO's, Anesthesiolgy, Tot Ptn Cr Non-Fed"
AHRF622,"DO's, Anesthesiolgy, Total Non-Fed"
AHRF623,"DO's, Emergency Med, Tot Ptn Cr Non-Fed"
AHRF624,"DO's, Emergency Med, Total Non-Fed"
AHRF625,"DO's, Fam Med Gen, Tot Ptn Cr Non-Fed"
AHRF626,"DO's, Fam Med Gen, Total Non-Fed"
AHRF627,"DO's, Fam Med Subsp,Tot Ptn Cr Non-Fed"
AHRF628,"DO's, Fam Med Subspec, Total Non-Fed"
AHRF629,"DO's, Gen Pract, Total Non-Fed"
AHRF630,"DO's, Gen Pract, Total Ptn Care Non-Fed"
AHRF631,"DO's, Genrl Surg, Tot Ptnt Care Non-Fed"
AHRF632,"DO's, Genrl Surg, Total Non-Fed"
AHRF633,"DO's, Gnrl Int Med, Tot Ptn Cr Non-Fed"
AHRF634,"DO's, Gnrl Int Med, Total Non-Fed"
AHRF635,"DO's, Inactive, 35-44 Non-Fed"
AHRF636,"DO's, Inactive, 45-54 Non-Fed"
AHRF637,"DO's, Inactive, 55-64 Non-Fed"
AHRF638,"DO's, Inactive, 65-74 Non-Fed"
AHRF639,"DO's, Inactive, 75 + Non-Fed"
AHRF640,"DO's, Inactive, < 35 Non-Fed"
AHRF641,"DO's, Inactive, Female Non-Fed"
AHRF642,"DO's, Inactive, Male Non-Fed"
AHRF643,"DO's, Int Med Subspecs, Total Non-Fed"
AHRF644,"DO's, IntMed Subspcs,Tot Ptn Cr Non-Fed"
AHRF645,"DO's, Ob-Gyn Subspcs,Tot Ptn Cr Non-Fed"
AHRF646,"DO's, Ob-Gyn Subspecs, Total Non-Fed"
AHRF647,"DO's, Ob-Gyn, Gen, Tot Patn Cr Non-Fed"
AHRF648,"DO's, Ob-Gyn, General, Total Non-Fed"
AHRF649,"DO's, Orthopedic Srg,Tot Ptn Cr Non-Fed"
AHRF650,"DO's, Orthopedic Surg, Total Non-Fed"
AHRF651,"DO's, Other Specs, Tot Patnt Cr Non-Fed"
AHRF652,"DO's, Other Specs, Total Non-Fed"
AHRF653,"DO's, Ped Subspecs, Tot Patn Cr Non-Fed"
AHRF654,"DO's, Ped Subspecs, Total Non-Fed"
AHRF655,"DO's, Pediatrics, General, Tot Non-Fed"
AHRF656,"DO's, Pediatrics,Gen,Tot Ptn Cr Non-Fed"
AHRF657,"DO's, Phys Med/Rehab, Total Non-Fed"
AHRF658,"DO's, Phys Med/Rehab,Tot Ptn Cr Non-Fed"
AHRF659,"DO's, Psychiatry, Tot Patnt Cr Non-Fed"
AHRF660,"DO's, Psychiatry, Total Non-Fed"
AHRF661,"DO's,Primary Care, Hsp Resident Non-Fed"
AHRF662,"DO's,Primary Care, Patient Care Non-Fed"
AHRF663,"DO's,Tot Ptn Care, US Graduates Non-Fed"
AHRF664,"DO's,Tot Ptn Care,Tot Graduates Non-Fed"
AHRF665,Days w/8-hr Avg Ozone ovr NAAQS Maximum 8-hour Average Ozone
AHRF666,"Dent, Gender Unknown,Priv Pract Non-Fed"
AHRF667,"Dent, Priv Pract,Tot GPs and Ped Non-Fed"
AHRF668,"Dent, Priv Pract,Tot Other Spec Non-Fed"
AHRF669,"Dent, Total Female, Priv Pract Non-Fed"
AHRF670,"Dent, Total Male, Priv Pract Non-Fed"
AHRF671,"Dent,Armed Forces and Oth Fed Srv Fed"
AHRF672,"Dent,Staff, Fac and Staf,Hlth Org Non-Fed"
AHRF673,Dentists w/NPI
AHRF674,"Dentists, Dental School Faculty Non-Fed"
AHRF675,"Dentists, Grad Student/Resident Non-Fed"
AHRF676,"Dentists, Male w/NPI"
AHRF677,"Dentists, No Longer in Practice Non-Fed"
AHRF678,"Dentists, Occup Type Unknown Non-Fed"
AHRF679,"Dentists, Other Occupation Non-Fed"
AHRF680,"Dentists, Seeking Employment Non-Fed"
AHRF681,"Dentists, State or Local Govt Non-Fed"
AHRF682,"Dentists, Total Priv Practice Non-Fed"
AHRF683,"Dentists, Total Prof Active Non-Fed and Fed"
AHRF684,"Dentists, Total, Priv Pract, FT Non-Fed"
AHRF685,"Dentists, Total, Priv Pract, PT Non-Fed"
AHRF686,"Dentists,Female w/NPI"
AHRF687,"Dentists,PT Faculty/PT Practice Non-Fed"
AHRF688,"Dermatology, 35-44 Non-Fed"
AHRF689,"Dermatology, 45-54 Non-Fed"
AHRF690,"Dermatology, 55-64 Non-Fed"
AHRF691,"Dermatology, 65-74 Non-Fed"
AHRF692,"Dermatology, 75 + Non-Fed"
AHRF693,"Dermatology, < 35 Non-Fed"
AHRF694,"Dermatology, Administration Non-Fed"
AHRF695,"Dermatology, Other Non-Fed"
AHRF696,"Dermatology, PC, Hosp FT Staff Non-Fed"
AHRF697,"Dermatology, PC, Hosp Resident Non-Fed"
AHRF698,"Dermatology, PC, Office Based Non-Fed"
AHRF699,"Dermatology, Research Non-Fed"
AHRF700,"Dermatology, Teaching Non-Fed"
AHRF701,"Dermatology, Total Non-Fed"
AHRF702,"Dermatology, Total Patnt Care Non-Fed"
AHRF703,"Diag Radiolgy, Administration Non-Fed"
AHRF704,"Diag Radiolgy, Other Non-Fed"
AHRF705,"Diag Radiolgy, PC, Hosp FT Stf Non-Fed"
AHRF706,"Diag Radiolgy, PC, Hosp Resdnt Non-Fed"
AHRF707,"Diag Radiolgy, PC, Office Based Non-Fed"
AHRF708,"Diag Radiolgy, Research Non-Fed"
AHRF709,"Diag Radiolgy, Teaching Non-Fed"
AHRF710,"Diag Radiolgy, Total Non-Fed"
AHRF711,"Diag Radiolgy, Total Patn Care Non-Fed"
AHRF712,"Diagnostic Radiology, 35-44 Non-Fed"
AHRF713,"Diagnostic Radiology, 45-54 Non-Fed"
AHRF714,"Diagnostic Radiology, 55-64 Non-Fed"
AHRF715,"Diagnostic Radiology, 65-74 Non-Fed"
AHRF716,"Diagnostic Radiology, 75 + Non-Fed"
AHRF717,"Diagnostic Radiology, < 35 Non-Fed"
AHRF718,Dist Hosp By 00 - 04 Services ST Non-Gen + Long Term Hosps
AHRF719,Dist Hosp By 00 - 04 Services Short Term General Hospitals
AHRF720,Dist Hosp By 00 - 39% Util Rate Short Term General Hospitals
AHRF721,Dist Hosp By 05 - 14 Services ST Non-Gen + Long Term Hosps
AHRF722,Dist Hosp By 05 - 14 Services Short Term General Hospitals
AHRF723,Dist Hosp By 15 - 24 Services ST Non-Gen + Long Term Hosps
AHRF724,Dist Hosp By 15 - 24 Services Short Term General Hospitals
AHRF725,Dist Hosp By 25+ Services ST Non-Gen + Long Term Hosps
AHRF726,Dist Hosp By 25+ Services Short Term General Hospitals
AHRF727,Dist Hosp By 40 - 59% Util Rate Short Term General Hospitals
AHRF728,Dist Hosp By 60 - 79% Util Rate Short Term General Hospitals
AHRF729,Dist Hosp By 80+% Util Rate Short Term General Hospitals
AHRF730,"ED Visits per 1K Medicare Benef Fee for Service, Emerg Dept"
AHRF731,Economic-Dependnt Typology Code
AHRF732,Emergency Department Visits ST Non-Gen + Long Term Hosps
AHRF733,Emergency Department Visits Short Term General Hospitals
AHRF734,"Emergency Med, Administration Non-Fed"
AHRF735,"Emergency Med, Other Non-Fed"
AHRF736,"Emergency Med, PC, Hosp FT Stf Non-Fed"
AHRF737,"Emergency Med, PC, Hosp Resdnt Non-Fed"
AHRF738,"Emergency Med, PC, Office Based Non-Fed"
AHRF739,"Emergency Med, Research Non-Fed"
AHRF740,"Emergency Med, Teaching Non-Fed"
AHRF741,"Emergency Med, Total Non-Fed"
AHRF742,"Emergency Med, Total Patn Care Non-Fed"
AHRF743,"Emergency Medicine, 35-44 Non-Fed"
AHRF744,"Emergency Medicine, 45-54 Non-Fed"
AHRF745,"Emergency Medicine, 55-64 Non-Fed"
AHRF746,"Emergency Medicine, 65-74 Non-Fed"
AHRF747,"Emergency Medicine, 75 + Non-Fed"
AHRF748,"Emergency Medicine, < 35 Non-Fed"
AHRF749,Farming-Dependent Typology Code
AHRF750,Fed/St Govt-Depdnt Typolgy Code Federal/State Government
AHRF751,Females 18-64 Yrs
AHRF752,Females 18-64 with Health Ins
AHRF753,Females 18-64 without Hlth Ins
AHRF754,Females 40-64 Yrs
AHRF755,Females 40-64 with Health Ins
AHRF756,Females 40-64 without Hlth Ins
AHRF757,Females <65 Yrs
AHRF758,Females <65 with Health Ins
AHRF759,Females <65 without Health Ins
AHRF760,Food Stamp/SNAP Recipients
AHRF761,"Forensic Path, Administration Non-Fed"
AHRF762,"Forensic Path, Other Non-Fed"
AHRF763,"Forensic Path, PC, Hosp FT Stf Non-Fed"
AHRF764,"Forensic Path, PC, Hosp Resdnt Non-Fed"
AHRF765,"Forensic Path, PC, Office Based Non-Fed"
AHRF766,"Forensic Path, Research Non-Fed"
AHRF767,"Forensic Path, Teaching Non-Fed"
AHRF768,"Forensic Path, Total Non-Fed"
AHRF769,"Forensic Path, Total Patn Care Non-Fed"
AHRF770,"Forensic Pathology, 35-44 Non-Fed"
AHRF771,"Forensic Pathology, 45-54 Non-Fed"
AHRF772,"Forensic Pathology, 55-64 Non-Fed"
AHRF773,"Forensic Pathology, 65-74 Non-Fed"
AHRF774,"Forensic Pathology, 75 + Non-Fed"
AHRF775,"Forensic Pathology, < 35 Non-Fed"
AHRF776,"Gastroenterology, 35-44 Non-Fed"
AHRF777,"Gastroenterology, 45-54 Non-Fed"
AHRF778,"Gastroenterology, 55-64 Non-Fed"
AHRF779,"Gastroenterology, 65-74 Non-Fed"
AHRF780,"Gastroenterology, 75 + Non-Fed"
AHRF781,"Gastroenterology, < 35 Non-Fed"
AHRF782,"Gastroenterology, Administrat Non-Fed"
AHRF783,"Gastroenterology, Other Non-Fed"
AHRF784,"Gastroenterology, PC, Hosp Res Non-Fed"
AHRF785,"Gastroenterology, PC, Off Based Non-Fed"
AHRF786,"Gastroenterology, PC,Hsp FT Stf Non-Fed"
AHRF787,"Gastroenterology, Research Non-Fed"
AHRF788,"Gastroenterology, Teaching Non-Fed"
AHRF789,"Gastroenterology, Total Non-Fed"
AHRF790,"Gastroenterology, Total Ptn Cr Non-Fed"
AHRF791,"Gen Int Med, PC, Hosp FT Staff Fed"
AHRF792,"Gen Int Med, PC, Hosp Residents Fed"
AHRF793,"Gen Internal Med, Oth Prof Act Fed"
AHRF794,"Gen Med/Surg, Adult, Bed Set Up Short Term General Hospitals"
AHRF795,"Gen Med/Surg, Ped, Beds Set Up Short Term General Hospitals"
AHRF796,"Gen Prev Med, Administration Non-Fed"
AHRF797,"Gen Prev Med, Other Non-Fed"
AHRF798,"Gen Prev Med, PC, Hosp FT Staff Non-Fed"
AHRF799,"Gen Prev Med, PC, Hosp Resident Non-Fed"
AHRF800,"Gen Prev Med, PC, Office Based Non-Fed"
AHRF801,"Gen Prev Med, Research Non-Fed"
AHRF802,"Gen Prev Med, Teaching Non-Fed"
AHRF803,"Gen Prev Med, Total Non-Fed"
AHRF804,"Gen Prev Med, Total Patnt Care Non-Fed"
AHRF805,"General Int Med, Other Non-Fed"
AHRF806,"General Int Med, Research Non-Fed"
AHRF807,"General Int Med, Teaching Non-Fed"
AHRF808,"General Int Med,Administration Non-Fed"
AHRF809,"General Internal Med, 35-44 Non-Fed"
AHRF810,"General Internal Med, 45-54 Non-Fed"
AHRF811,"General Internal Med, 55-64 Non-Fed"
AHRF812,"General Internal Med, 65-74 Non-Fed"
AHRF813,"General Internal Med, 75 + Non-Fed"
AHRF814,"General Internal Med, < 35 Non-Fed"
AHRF815,"General Internal Med, Total Non-Fed"
AHRF816,"General Preventive Med, 35-44 Non-Fed"
AHRF817,"General Preventive Med, 45-54 Non-Fed"
AHRF818,"General Preventive Med, 55-64 Non-Fed"
AHRF819,"General Preventive Med, 65-74 Non-Fed"
AHRF820,"General Preventive Med, 75 + Non-Fed"
AHRF821,"General Preventive Med, < 35 Non-Fed"
AHRF822,"General Surgery, 35-44 Non-Fed"
AHRF823,"General Surgery, 45-54 Non-Fed"
AHRF824,"General Surgery, 55-64 Non-Fed"
AHRF825,"General Surgery, 65-74 Non-Fed"
AHRF826,"General Surgery, 75 + Non-Fed"
AHRF827,"General Surgery, < 35 Non-Fed"
AHRF828,"Genrl Surg, Administration Non-Fed"
AHRF829,"Genrl Surg, Other Non-Fed"
AHRF830,"Genrl Surg, Other Prof Activity Fed"
AHRF831,"Genrl Surg, PC, Hosp FT Staff Fed"
AHRF832,"Genrl Surg, PC, Hosp FT Staff Non-Fed"
AHRF833,"Genrl Surg, PC, Hosp Residents Fed"
AHRF834,"Genrl Surg, PC, Hosp Residents Non-Fed"
AHRF835,"Genrl Surg, PC, Office Based Non-Fed"
AHRF836,"Genrl Surg, Research Non-Fed"
AHRF837,"Genrl Surg, Teaching Non-Fed"
AHRF838,"Genrl Surg, Total Non-Fed"
AHRF839,"Genrl Surg, Total Patient Care Non-Fed"
AHRF840,"Gnrl Int Med, PC, Hosp FT Staff Non-Fed"
AHRF841,"Gnrl Int Med, PC, Hosp Resident Non-Fed"
AHRF842,"Gnrl Int Med, PC, Office Based Non-Fed"
AHRF843,"Gnrl Int Med, Total Patn Care Non-Fed"
AHRF844,"HPSA Code - Dentists  05/17 1=Whole, 2=Part County"
AHRF845,"HPSA Code - Dentists  05/18 1=Whole, 2=Part County"
AHRF846,"HPSA Code - Dentists 05/16 1=Whole, 2=Part County"
AHRF847,"HPSA Code - Dentists 06/15 1=Whole, 2=Part County"
AHRF848,"HPSA Code - Mental Health 05/16 1=Whole, 2=Part County"
AHRF849,"HPSA Code - Mental Health 05/17 1=Whole, 2=Part County"
AHRF850,"HPSA Code - Mental Health 05/18 1=Whole, 2=Part County"
AHRF851,"HPSA Code - Mental Health 06/15 1=Whole, 2=Part County"
AHRF852,"HPSA Code - Primary Care 05/16 1=Whole, 2=Part County"
AHRF853,"HPSA Code - Primary Care 05/17 1=Whole, 2=Part County"
AHRF854,"HPSA Code - Primary Care 05/18 1=Whole, 2=Part County"
AHRF855,"HPSA Code - Primary Care 06/15 1=Whole, 2=Part County"
AHRF856,High Poverty Typology Code
AHRF857,Hlth Ins Marketplace Enrollees
AHRF858,Hospital Admissions
AHRF859,Hospital Beds
AHRF860,Housing Units Estimates
AHRF861,IP Act Cost as % of Tot Act Cst Fee for Service
AHRF862,IP Per Capita Actual Medcr Cost Fee for Service
AHRF863,IP Per User Actual Medcare Cost Fee for Service
AHRF864,Inpatient Actual Medicare Costs Fee for Service
AHRF865,Inpatient Days Incl Nurs Home;Total Hosp
AHRF866,Inpatient Days in ST Gen Hosp
AHRF867,Inpatient Days in VA Hosps
AHRF868,Inptn Day in LT Chronic Disease
AHRF869,Inptn Day in LT Intel Disablity
AHRF870,Inptn Days in LT Acute LT Care
AHRF871,Inptn Days in LT Chldrn's Psych
AHRF872,Inptn Days in LT Gen Med/Surg
AHRF873,Inptn Days in LT Psychiatric
AHRF874,Inptn Days in LT Rehabilitation
AHRF875,Inptn Days in ST Acute LT Care
AHRF876,Inptn Days in ST Chldrn's Gen
AHRF877,Inptn Days in ST Chldrn's Psych
AHRF878,Inptn Days in ST Psychiatric
AHRF879,Inptn Days in ST Rehabilitation
AHRF880,Inptn Days in STNG/LT Hosp
AHRF881,Inptn Days in Short Term Comm
AHRF882,"Int Med Subspecs, Administrat Non-Fed"
AHRF883,"Int Med Subspecs, Other Non-Fed"
AHRF884,"Int Med Subspecs, PC, Hosp Res Non-Fed"
AHRF885,"Int Med Subspecs, PC, Off Based Non-Fed"
AHRF886,"Int Med Subspecs, Research Non-Fed"
AHRF887,"Int Med Subspecs, Teaching Non-Fed"
AHRF888,"Int Med Subspecs, Tot Patn Care Non-Fed"
AHRF889,"Int Med Subspecs, Total Non-Fed"
AHRF890,"Int Med Subspecs,PC,Hosp FT Stf Non-Fed"
AHRF891,"Intermediate Care, Beds Set Up Short Term General Hospitals"
AHRF892,"Internal Med Subspecs, 35-44 Non-Fed"
AHRF893,"Internal Med Subspecs, 45-54 Non-Fed"
AHRF894,"Internal Med Subspecs, 55-64 Non-Fed"
AHRF895,"Internal Med Subspecs, 65-74 Non-Fed"
AHRF896,"Internal Med Subspecs, 75 + Non-Fed"
AHRF897,"Internal Med Subspecs, < 35 Non-Fed"
AHRF898,"LPN/LVNs, Full-Time Incl Nurs Homes; ST Gen Hosps"
AHRF899,"LPN/LVNs, Full-Time Incl Nurs Homes; STNG/LT Hosps"
AHRF900,"LPN/LVNs, Part-Time Incl Nurs Homes; ST Gen Hosps"
AHRF901,"LPN/LVNs, Part-Time Incl Nurs Homes; STNG/LT Hosps"
AHRF902,"LPN/LVNs, Vacancies ST Non-Gen + Long Term Hosps"
AHRF903,"LPN/LVNs, Vacancies Short Term General Hospitals"
AHRF904,"Laboratory Technician,Vacancies ST Non-Gen + Long Term Hosps"
AHRF905,"Laboratory Technician,Vacancies Short Term General Hospitals"
AHRF906,"Laboratory Technicians, FT Incl Nurs Homes; ST Gen Hosps"
AHRF907,"Laboratory Technicians, FT Incl Nurs Homes; STNG/LT Hosps"
AHRF908,"Laboratory Technicians, PT Incl Nurs Homes; ST Gen Hosps"
AHRF909,"Laboratory Technicians, PT Incl Nurs Homes; STNG/LT Hosps"
AHRF910,"Licensed Beds, Long Term Hosp Incl Nurs Homes"
AHRF911,"Licensed Beds, Short Term Hosp Incl Nurs Homes"
AHRF912,"Licensed Beds, Total Hospital Incl Nurs Home"
AHRF913,"Licensed Beds,Short Non-Gen Hsp Incl Nurs Homes"
AHRF914,"Licensed Nurs Home Beds, LT"
AHRF915,"Licensed Nurs Home Beds, STGEN"
AHRF916,"Licensed Nurs Home Beds, STNG"
AHRF917,Licensed Nursing Home Beds Total Hospitals
AHRF918,Long Term Hosp Beds
AHRF919,Low Education Typology Code
AHRF920,Low Employment Typology Code
AHRF921,"M.D.'s, PC, Off Based Non-Fed"
AHRF922,"M.D.'s, Tot PC, Hosp Residents Fed"
AHRF923,"M.D.'s, Total Administration Non-Fed"
AHRF924,"M.D.'s, Total Oth Prof Activity Fed"
AHRF925,"M.D.'s, Total Oth Prof Activity Non-Fed"
AHRF926,"M.D.'s, Total Other Non-Fed"
AHRF927,"M.D.'s, Total PC, Hosp FT Staff Fed"
AHRF928,"M.D.'s, Total PC, Hosp FT Staff Non-Fed"
AHRF929,"M.D.'s, Total PC, Hosp Resident Non-Fed"
AHRF930,"M.D.'s, Total Ptn Care Non-Fed"
AHRF931,"M.D.'s, Total Research Non-Fed"
AHRF932,"M.D.'s, Total Teaching Non-Fed"
AHRF933,"M.D.'s, Total, Inactive Fed"
AHRF934,"MD's Inactive, Total Non-Fed"
AHRF935,"MD's Not Classified, Total Non-Fed"
